番号,REGゲーム数,REG枚数,ATゲーム数,AT枚数
717,100,0,116,343
718,136,0,0,0
719,260,0,0,0
720,348,0,192,552
721,207,0,0,0
722,31,0,0,0
723,142,0,0,0
724,354,0,303,884
725,54,0,109,321
726,752,0,82,246
727,208,0,136,390
728,324,0,83,249
729,95,0,0,0
730,421,0,581,1680
731,747,0,212,618
732,778,0,17,47
733,267,0,0,0
734,72,0,74,213
735,233,0,84,242
736,317,0,110,321
737,111,0,188,543
738,96,0,54,152
739,171,0,18,48
740,96,0,21,58
741,367,0,470,1360
742,661,0,314,886
743,97,0,111,330
744,99,0,86,253
745,96,0,0,0
746,509,0,20,56
747,201,0,108,313
748,277,0,0,0
749,236,0,306,893
750,167,0,20,54
751,98,0,0,0
752,266,0,188,546
753,778,0,206,599
754,260,0,0,0
755,203,0,1182,3380
756,328,0,0,0
757,174,0,0,0
758,274,0,0,0
759,365,0,184,532
760,668,0,84,248
761,731,0,0,0
762,459,0,90,260
763,34,0,0,0
764,42,0,82,240
765,183,0,0,0
766,146,0,21,57
767,752,0,104,307
768,778,0,0,0
769,65,0,308,894
770,429,0,0,0
771,187,0,0,0
772,56,0,211,612
773,509,0,774,2208
774,205,0,24,67
775,37,0,0,0
776,103,0,153,443
777,731,0,0,0
778,83,0,228,664
779,779,0,0,0
780,371,0,167,485
781,422,0,105,306
782,780,0,0,0
783,136,0,0,0
784,136,0,179,519
785,98,0,0,0
786,778,0,151,444
787,333,0,0,0
788,414,0,0,0
789,98,0,0,0
790,441,0,88,264
791,752,0,90,270
792,52,0,0,0
793,55,0,0,0
794,647,0,346,997
795,397,0,73,210
796,130,0,21,57
797,752,0,83,250
798,148,0,234,678
799,148,0,87,248
800,97,0,53,154
801,753,0,87,261
802,254,0,1166,3348
803,745,0,119,342
804,227,0,48,133
805,778,0,1477,4196
806,95,0,826,2376
807,141,0,234,677
808,778,0,258,747
809,97,0,0,0
810,346,0,258,754
811,336,0,0,0
812,389,0,84,251
813,46,0,113,328
814,133,0,0,0
815,170,0,190,544
816,48,0,76,223
817,95,0,0,0
818,658,0,116,341
819,131,0,129,374
820,227,0,527,1537
821,768,0,0,0
822,262,0,141,422
823,97,0,16,44
824,47,0,189,554
825,97,0,0,0
826,14,0,0,0
827,194,0,0,0
828,281,0,0,0
829,700,0,253,740
830,96,0,112,329
831,141,0,86,257
832,57,0,153,441
833,300,0,1556,4439
834,778,0,463,1348
835,357,0,116,337
836,202,0,0,0
837,478,0,0,0
838,535,0,0,0
839,70,0,101,299
840,664,0,208,606
841,431,0,45,131
842,37,0,184,535
843,778,0,0,0
844,505,0,90,271
845,225,0,246,714
846,396,0,0,0
847,11,0,276,806
848,190,0,0,0
849,477,0,87,257
850,610,0,0,0
851,143,0,89,267
852,161,0,0,0
853,592,0,184,543
854,84,0,85,250
855,53,0,0,0
856,112,0,0,0
857,276,0,0,0
858,314,0,119,351
859,453,0,663,1919
860,779,0,147,424
861,447,0,0,0
862,778,0,21,58
863,318,0,0,0
864,435,0,263,773
865,326,0,76,218
866,78,0,0,0
867,736,0,183,535
868,245,0,43,119
869,348,0,235,689
870,74,0,0,0
871,316,0,112,323
872,374,0,18,48
873,81,0,0,0
874,672,0,432,1264
875,99,0,150,433
876,97,0,431,1252
877,139,0,24,67
878,85,0,77,222
879,97,0,127,361
880,55,0,106,310
881,77,0,153,442
882,141,0,122,356
883,233,0,0,0
884,778,0,0,0
885,236,0,12,31
886,98,0,112,321
887,312,0,104,302
888,97,0,69,197
889,97,0,0,0
890,290,0,90,265
891,272,0,0,0
892,481,0,86,259
893,752,0,88,263
894,131,0,0,0
895,246,0,222,642
896,249,0,0,0
897,82,0,88,258
898,90,0,75,215
899,220,0,201,579
900,80,0,78,225
901,96,0,186,548
902,397,0,0,0
903,779,0,0,0
904,109,0,84,252
905,87,0,397,1160
906,779,0,107,317
907,778,0,18,50
908,207,0,436,1270
909,450,0,1008,2882
910,525,0,0,0
911,493,0,0,0
912,110,0,0,0
913,157,0,214,627
914,99,0,232,672
915,565,0,20,55
916,265,0,77,221
917,778,0,152,441
918,470,0,19,51
919,752,0,88,265
920,99,0,175,504
921,50,0,189,547
922,97,0,0,0
923,730,0,119,341
924,98,0,242,702
925,40,0,88,258
926,501,0,0,0
927,252,0,146,432
928,96,0,88,259
929,96,0,201,585
930,97,0,189,557
931,326,0,125,365
932,475,0,0,0
933,325,0,358,1032
934,779,0,94,272
935,779,0,188,541
936,241,0,84,247
937,33,0,82,235
938,95,0,234,671
939,37,0,231,668
940,95,0,20,56
941,219,0,120,347
942,96,0,112,322
943,99,0,158,456
944,293,0,151,439
945,779,0,87,262
946,88,0,98,280
947,778,0,0,0
948,79,0,106,308
949,229,0,108,315
950,247,0,0,0
951,778,0,262,758
952,694,0,216,622
953,46,0,82,237
954,778,0,102,289
955,285,0,208,599
956,36,0,0,0
957,725,0,84,242
958,107,0,19,53
959,549,0,215,621
960,60,0,77,219
961,138,0,20,56
962,461,0,74,211
963,778,0,24,68
964,444,0,82,240
965,269,0,109,316
966,51,0,0,0
967,118,0,318,920
968,690,0,274,795
969,151,0,246,717
970,778,0,637,1820
971,62,0,17,46
972,138,0,18,50
973,419,0,115,329
974,780,0,95,285
975,323,0,0,0
976,644,0,112,320
977,314,0,18,49
978,752,0,574,1678
979,184,0,50,144
980,283,0,0,0
981,471,0,235,695
982,99,0,0,0
983,778,0,440,1278
984,283,0,85,243
985,482,0,16,43
986,375,0,303,884
987,74,0,219,586
988,293,0,116,344
989,145,0,0,0
990,713,0,18,49
991,371,0,0,0
992,383,0,89,267
993,459,0,0,0
994,475,0,87,256
995,239,0,240,701
996,256,0,0,0
997,317,0,0,0
998,711,0,350,1024
