番号,REGゲーム数,REG枚数,ATゲーム数,AT枚数
2063,98,0,437,1272
2064,32,0,131,378
2065,752,0,76,229
2066,507,0,88,249
2067,752,0,176,518
2068,752,0,163,480
2069,495,0,259,747
2070,752,0,282,822
2071,253,0,134,392
2072,200,0,177,519
2073,370,0,292,848
2074,727,0,126,365
2075,109,0,76,218
2076,213,0,194,568
2077,179,0,78,235
2078,752,0,352,1027
2079,236,0,51,149
2080,453,0,344,989
2081,289,0,49,142
2082,522,0,74,212
2083,244,0,0,0
2084,681,0,217,620
2085,752,0,179,528
2086,439,0,342,998
2087,626,0,0,0
2088,580,0,783,2235
2089,149,0,133,388
2090,50,0,265,774
2091,667,0,48,135
2092,752,0,336,984
2093,743,0,110,321
2094,96,0,307,895
2095,97,0,217,628
2096,156,0,123,360
2097,190,0,91,268
2098,302,0,262,761
2099,97,0,255,746
2100,752,0,221,652
2101,417,0,121,353
2102,273,0,109,311
2103,281,0,0,0
2104,752,0,87,261
2105,234,0,0,0
2106,62,0,0,0
2107,221,0,0,0
2108,1,0,19,57
2109,413,0,0,0
2110,224,0,421,1224
2111,573,0,1053,3016
2112,171,0,105,300
2113,352,0,0,0
2114,51,0,0,0
2115,304,0,0,0
2116,641,0,231,675
2117,60,0,0,0
2118,319,0,0,0
2119,208,0,19,53
2120,711,0,171,495
2121,324,0,148,427
2122,134,0,144,416
2123,57,0,0,0
2124,753,0,134,396
2125,208,0,0,0
2126,691,0,41,112
2127,414,0,106,304
2128,219,0,138,398
2129,77,0,0,0
2130,752,0,82,246
2131,97,0,0,0
2132,753,0,331,978
2133,30,0,160,463
2134,146,0,0,0
2135,216,0,54,158
2136,237,0,0,0
2137,99,0,0,0
2138,96,0,0,0
2139,753,0,275,810
2140,177,0,171,500
2141,425,0,92,261
2142,97,0,454,1317
2143,537,0,239,696
2144,423,0,0,0
2145,329,0,185,533
2146,753,0,349,1019
2147,136,0,0,0
2148,752,0,155,460
2149,47,0,0,0
2150,714,0,0,0
2151,80,0,17,47
2152,410,0,87,253
2153,752,0,88,263
2154,275,0,0,0
2155,152,0,0,0
2156,45,0,48,140
2157,109,0,0,0
2158,752,0,177,520
2159,150,0,0,0
2160,517,0,19,52
2161,107,0,19,52
2162,305,0,0,0
2163,209,0,0,0
2164,229,0,93,273
2165,194,0,0,0
2166,229,0,0,0
2167,431,0,105,306
2168,538,0,0,0
2169,648,0,0,0
2170,109,0,15,39
2171,756,0,87,260
2172,77,0,0,0
2173,662,0,0,0
2174,36,0,0,0
2175,106,0,204,584
2176,84,0,207,609
2177,323,0,110,320
2178,752,0,183,538
2179,533,0,1069,3056
2180,410,0,243,707
2181,752,0,148,434
2182,383,0,99,280
2183,269,0,157,456
2184,98,0,0,0
2185,143,0,0,0
2186,83,0,0,0
2187,395,0,227,669
2188,235,0,221,649
2189,431,0,0,0
2190,752,0,139,411
2191,98,0,9,23
2192,752,0,84,253
2193,95,0,0,0
2194,716,0,0,0
2195,753,0,215,635
2196,46,0,190,550
2197,672,0,244,706
2198,106,0,86,246
2199,752,0,735,2122
2200,278,0,58,169
2201,157,0,19,52
2202,236,0,16,44
2203,158,0,21,57
2204,308,0,140,406
2205,466,0,0,0
2206,510,0,0,0
2207,476,0,0,0
2208,752,0,118,348
2209,97,0,108,306
2210,203,0,19,52
2211,620,0,80,231
2212,531,0,0,0
2213,39,0,440,1282
2214,235,0,603,1756
2215,97,0,75,212
2216,81,0,606,1746
2217,208,0,381,1106
2218,112,0,21,59
2219,50,0,79,226
2220,752,0,110,326
2221,298,0,120,348
2222,95,0,0,0
2223,80,0,236,692
2224,63,0,89,258
2225,752,0,152,447
2226,752,0,84,251
2227,389,0,284,823
2228,111,0,237,677
2229,84,0,90,266
2230,406,0,87,255
2231,451,0,53,154
2232,628,0,0,0
2233,77,0,0,0
2234,170,0,0,0
2235,291,0,0,0
2236,541,0,87,257
2237,426,0,85,245
2238,730,0,204,592
2239,448,0,86,250
2240,666,0,0,0
2241,86,0,340,984
2242,752,0,193,568
2243,751,0,233,687
2244,752,0,82,246
2245,676,0,0,0
2246,604,0,19,53
2247,507,0,1068,3034
2248,597,0,141,414
2249,752,0,245,720
2250,246,0,442,1288
2251,752,0,79,237
2252,752,0,282,833
2253,552,0,78,224
2254,176,0,86,247
2255,303,0,111,324
2256,587,0,0,0
2257,284,0,0,0
2258,217,0,538,1573
2259,231,0,141,411
2260,752,0,89,268
2261,99,0,0,0
2262,270,0,240,701
2263,752,0,80,241
2264,97,0,88,253
2265,134,0,140,405
2266,142,0,0,0
2267,291,0,0,0
2268,212,0,0,0
2269,305,0,127,375
2270,619,0,111,317
2271,614,0,229,660
2272,237,0,0,0
2273,54,0,728,2073
2274,752,0,83,250
2275,752,0,88,264
2276,272,0,15,39
2277,752,0,260,757
2278,94,0,204,591
2279,95,0,1696,4864
2280,40,0,0,0
2281,98,0,1192,3402
2282,226,0,397,1152
2283,36,0,0,0
2284,73,0,40,114
2285,205,0,113,328
2286,142,0,55,159
2287,284,0,72,207
2288,349,0,86,253
2289,217,0,67,192
2290,702,0,67,192
2291,535,0,1255,3634
2292,223,0,172,502
2293,63,0,0,0
2294,460,0,536,1507
2295,752,0,1277,3630
2296,752,0,849,2440
2297,267,0,0,0
2298,595,0,0,0
2299,88,0,146,421
2300,96,0,58,168
2301,436,0,0,0
2302,347,0,0,0
2303,98,0,0,0
2304,353,0,0,0
2305,144,0,474,1381
2306,522,0,297,863
2307,341,0,92,272
2308,423,0,21,58
2309,434,0,88,259
2310,353,0,392,1138
2311,95,0,0,0
2312,421,0,104,301
2313,190,0,0,0
2314,129,0,0,0
2315,753,0,83,248
2316,583,0,0,0
2317,303,0,0,0
2318,394,0,90,264
2319,752,0,766,2260
2320,596,0,0,0
2321,752,0,1904,5456
2322,95,0,0,0
2323,682,0,49,138
2324,239,0,89,256
2325,79,0,89,262
2326,233,0,15,40
2327,341,0,0,0
2328,136,0,84,240
2329,37,0,873,2518
2330,232,0,0,0
2331,476,0,19,53
2332,753,0,83,249
2333,753,0,238,700
2334,95,0,0,0
2335,109,0,0,0
2336,85,0,223,648
2337,752,0,153,453
2338,480,0,73,211
2339,332,0,0,0
2340,601,0,211,618
2341,499,0,281,800
2342,594,0,0,0
2343,149,0,0,0
2344,544,0,0,0
2345,647,0,162,466
2346,304,0,244,712
2347,678,0,0,0
2348,98,0,144,421
2349,187,0,0,0
2350,237,0,246,722
2351,752,0,86,257
2352,219,0,17,45
2353,96,0,20,55
2354,752,0,85,256
2355,99,0,0,0
2356,215,0,117,341
2357,753,0,87,261
2358,225,0,0,0
2359,359,0,56,156
2360,455,0,1259,3625
2361,752,0,87,260
2362,198,0,417,1211
2363,522,0,114,333
2364,222,0,0,0
2365,128,0,17,47
2366,291,0,118,339
2367,291,0,0,0
2368,159,0,0,0
2369,96,0,204,588
2370,594,0,257,743
2371,181,0,119,347
2372,52,0,888,2556
2373,134,0,0,0
2374,98,0,129,382
2375,97,0,0,0
2376,227,0,325,944
2377,125,0,0,0
2378,94,0,46,126
2379,542,0,122,352
2380,43,0,0,0
2381,193,0,84,243
2382,129,0,0,0
2383,127,0,0,0
2384,140,0,0,0
2385,80,0,410,1195
2386,752,0,87,260
2387,140,0,909,2604
2388,528,0,108,314
2389,187,0,0,0
2390,146,0,0,0
2391,97,0,0,0
2392,157,0,0,0
2393,298,0,52,145
2394,292,0,145,419
2395,752,0,83,249
2396,599,0,86,253
2397,580,0,0,0
2398,236,0,0,0
2399,242,0,109,310
2400,249,0,81,234
2401,151,0,0,0
2402,752,0,270,796
2403,752,0,320,942
2404,752,0,79,236
2405,752,0,87,262
2406,97,0,0,0
2407,175,0,1089,3124
2408,92,0,468,1364
2409,147,0,138,391
2410,97,0,0,0
2411,718,0,54,153
2412,752,0,232,672
2413,94,0,50,142
2414,96,0,287,830
2415,476,0,88,259
2416,482,0,0,0
2417,752,0,356,1039
2418,752,0,79,238
2419,51,0,145,425
2420,242,0,374,1087
2421,129,0,0,0
2422,70,0,53,155
2423,107,0,89,259
2424,95,0,0,0
2425,342,0,0,0
2426,752,0,104,309
2427,72,0,68,195
2428,201,0,173,511
2429,446,0,630,1836
2430,64,0,268,786
2431,63,0,280,814
2432,752,0,112,332
2433,200,0,364,1048
2434,44,0,0,0
2435,95,0,207,598
2436,310,0,89,257
2437,358,0,19,53
2438,455,0,92,262
2439,333,0,0,0
2440,212,0,0,0
2441,296,0,343,1001
2442,226,0,123,356
2443,752,0,104,306
2444,246,0,84,248
2445,462,0,208,609
2446,70,0,339,986
2447,677,0,83,244
2448,7,0,55,160
2449,752,0,86,259
2450,173,0,141,402
2451,70,0,36,104
2452,753,0,82,247
2453,147,0,0,0
2454,46,0,144,418
2455,752,0,82,247
2456,297,0,535,1556
2457,239,0,1646,4738
2458,193,0,0,0
2459,215,0,106,314
2460,98,0,0,0
2461,620,0,0,0
2462,496,0,0,0
2463,409,0,0,0
2464,182,0,0,0
2465,355,0,165,477
2466,752,0,340,995
2467,232,0,0,0
2468,653,0,0,0
2469,634,0,0,0
2470,249,0,0,0
2471,60,0,107,305
2472,33,0,0,0
2473,145,0,0,0
2474,169,0,278,809
2475,614,0,67,196
2476,753,0,306,893
2477,231,0,0,0
2478,61,0,20,56
2479,341,0,0,0
2480,96,0,0,0
2481,45,0,1408,4013
2482,336,0,0,0
2483,163,0,194,566
2484,64,0,181,523
2485,72,0,0,0
2486,618,0,0,0
2487,107,0,49,141
2488,90,0,115,336
2489,152,0,0,0
2490,96,0,293,846
2491,108,0,167,486
2492,95,0,0,0
2493,94,0,546,1574
2494,752,0,871,2490
2495,752,0,91,272
2496,129,0,0,0
