REGゲーム数,REG枚数,ATゲーム数,AT枚数,朝イチ,スルー回数,前回当選ゲーム数,前回獲得枚数,前回差枚数,前回連荘数,前回種別
268,0,109,315,0,0,0,0,0,0,0
247,0,19,52,0,0,0,0,0,0,0
389,0,0,0,0,0,0,0,0,0,0
364,0,2018,5805,0,0,0,0,0,0,0
359,0,91,261,0,0,0,0,0,0,0
452,0,113,330,0,0,0,0,0,0,0
79,0,1316,3725,0,0,0,0,0,0,0
97,0,193,558,0,0,0,0,0,0,0
779,0,110,309,0,0,0,0,0,0,0
536,0,297,874,0,0,0,0,0,0,0
707,0,94,270,0,0,0,0,0,0,0
310,0,91,269,0,0,0,0,0,0,0
554,0,83,245,0,0,0,0,0,0,0
377,0,0,0,0,0,0,0,0,0,0
376,0,165,484,0,0,0,0,0,0,0
96,0,99,287,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0
424,0,7,15,0,0,0,0,0,0,0
239,0,0,0,0,0,0,0,0,0,0
515,0,285,832,0,0,0,0,0,0,0
255,0,0,0,0,0,0,0,0,0,0
780,0,125,366,0,0,0,0,0,0,0
779,0,193,561,0,0,0,0,0,0,0
234,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0
764,0,183,532,0,0,0,0,0,0,0
392,0,102,290,0,0,0,0,0,0,0
630,0,84,245,0,0,0,0,0,0,0
459,0,54,156,0,0,0,0,0,0,0
321,0,0,0,0,0,0,0,0,0,0
376,0,0,0,0,0,0,0,0,0,0
57,0,81,243,0,0,0,0,0,0,0
753,0,117,348,0,0,0,0,0,0,0
85,0,101,297,0,0,0,0,0,0,0
778,0,368,1070,0,0,0,0,0,0,0
351,0,0,0,0,0,0,0,0,0,0
646,0,0,0,0,0,0,0,0,0,0
287,0,245,720,0,0,0,0,0,0,0
97,0,355,1006,0,0,0,0,0,0,0
50,0,83,243,0,0,0,0,0,0,0
753,0,161,472,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0,0
163,0,120,350,0,0,0,0,0,0,0
34,0,206,596,0,0,0,0,0,0,0
335,0,307,889,0,0,0,0,0,0,0
79,0,247,718,0,0,0,0,0,0,0
778,0,589,1701,0,0,0,0,0,0,0
235,0,81,244,0,0,0,0,0,0,0
478,0,124,358,0,0,0,0,0,0,0
279,0,439,1279,0,0,0,0,0,0,0
371,0,0,0,0,0,0,0,0,0,0
72,0,131,389,0,0,0,0,0,0,0
258,0,0,0,0,0,0,0,0,0,0
495,0,195,571,0,0,0,0,0,0,0
34,0,18,49,0,0,0,0,0,0,0
463,0,0,0,0,0,0,0,0,0,0
290,0,281,828,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0,0,0,0
778,0,46,134,0,0,0,0,0,0,0
235,0,0,0,0,0,0,0,0,0,0
100,0,403,1167,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0
201,0,157,459,0,0,0,0,0,0,0
256,0,56,158,0,0,0,0,0,0,0
279,0,84,252,0,0,0,0,0,0,0
752,0,82,245,0,0,0,0,0,0,0
350,0,156,457,0,0,0,0,0,0,0
326,0,253,736,0,0,0,0,0,0,0
74,0,168,484,0,0,0,0,0,0,0
166,0,0,0,0,0,0,0,0,0,0
505,0,0,0,0,0,0,0,0,0,0
613,0,114,336,0,0,0,0,0,0,0
243,0,38,110,0,0,0,0,0,0,0
724,0,78,228,0,0,0,0,0,0,0
183,0,0,0,0,0,0,0,0,0,0
570,0,386,1121,0,0,0,0,0,0,0
488,0,958,2750,0,0,0,0,0,0,0
325,0,0,0,0,0,0,0,0,0,0
312,0,0,0,0,0,0,0,0,0,0
33,0,24,68,0,0,0,0,0,0,0
238,0,0,0,0,0,0,0,0,0,0
201,0,53,149,0,0,0,0,0,0,0
243,0,0,0,0,0,0,0,0,0,0
299,0,136,394,0,0,0,0,0,0,0
778,0,110,322,0,0,0,0,0,0,0
324,0,0,0,0,0,0,0,0,0,0
166,0,307,893,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0
12,0,10,25,0,0,0,0,0,0,0
239,0,47,135,0,0,0,0,0,0,0
394,0,504,1467,0,0,0,0,0,0,0
146,0,105,306,0,0,0,0,0,0,0
554,0,0,0,0,0,0,0,0,0,0
522,0,889,2547,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0,0,0,0
778,0,19,52,0,0,0,0,0,0,0
752,0,436,1269,0,0,0,0,0,0,0
219,0,87,251,0,0,0,0,0,0,0
98,0,81,239,0,0,0,0,0,0,0
752,0,87,260,0,0,0,0,0,0,0
778,0,77,221,0,0,0,0,0,0,0
256,0,0,0,0,0,0,0,0,0,0
83,0,84,247,0,0,0,0,0,0,0
316,0,143,412,0,0,0,0,0,0,0
253,0,172,496,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0
99,0,72,204,0,0,0,0,0,0,0
450,0,135,384,0,0,0,0,0,0,0
255,0,72,206,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0
456,0,0,0,0,0,0,0,0,0,0
469,0,77,219,0,0,0,0,0,0,0
778,0,0,0,0,0,0,0,0,0,0
506,0,99,291,0,0,0,0,0,0,0
97,0,76,229,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0,0
232,0,0,0,0,0,0,0,0,0,0
392,0,161,474,0,0,0,0,0,0,0
565,0,78,226,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0
780,0,0,0,0,0,0,0,0,0,0
141,0,176,512,0,0,0,0,0,0,0
98,0,14,38,0,0,0,0,0,0,0
